               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085243,            0.043417,            0.012977,             0.34169,             0.36703,             0.27733,            0.091106,            0.066417,            0.021796,           0.0020136,           0.0033241,           0.0033241,            0.070083
                   1,            0.065507,            0.032969,           0.0018556,             0.46647,             0.34347,             0.35824,             0.11521,             0.05816,            0.018644,           0.0015758,            0.006656,            0.006656,            0.040082
                   2,            0.061776,             0.03052,           0.0019676,             0.45798,              0.4897,             0.44001,              0.1627,            0.060033,            0.017223,           0.0015795,           0.0099819,           0.0099819,            0.010074
                   3,            0.059725,            0.031353,           0.0016743,             0.50686,             0.48871,             0.46271,             0.18197,            0.054201,            0.019337,             0.00123,             0.00998,             0.00998,             0.00998
                   4,            0.054669,            0.033985,           0.0010342,             0.51585,             0.47694,              0.4606,             0.16674,            0.050142,            0.019553,           0.0007156,             0.00998,             0.00998,             0.00998
                   5,            0.052047,            0.032156,          0.00078824,             0.54146,             0.52993,             0.51556,             0.21986,            0.048074,             0.01867,          0.00053907,           0.0099645,           0.0099645,           0.0099645
                   6,            0.050172,            0.031978,           0.0005918,             0.50212,             0.54171,             0.50261,             0.19249,            0.047859,            0.018664,          0.00061377,           0.0099446,           0.0099446,           0.0099446
                   7,            0.049338,            0.030288,          0.00058165,             0.50349,             0.49166,             0.46403,             0.18522,            0.048912,            0.019434,          0.00052704,           0.0099203,           0.0099203,           0.0099203
                   8,            0.047633,             0.03087,           0.0004975,             0.64082,             0.52012,             0.55527,             0.21615,             0.04735,            0.018184,          0.00038655,           0.0098916,           0.0098916,           0.0098916
                   9,            0.046851,            0.030953,          0.00043498,             0.58262,             0.50736,             0.54076,             0.21016,            0.048573,            0.018276,          0.00033278,           0.0098586,           0.0098586,           0.0098586
                  10,            0.045905,            0.029543,          0.00042367,             0.63255,             0.53384,             0.56453,              0.2321,            0.047724,            0.018315,          0.00041872,           0.0098213,           0.0098213,           0.0098213
                  11,            0.045881,            0.031496,          0.00042045,             0.59026,             0.57802,             0.56469,             0.23432,            0.047089,            0.018106,          0.00040408,           0.0097798,           0.0097798,           0.0097798
                  12,            0.045661,            0.029961,          0.00040997,             0.65917,             0.58292,             0.62198,             0.26863,            0.046255,            0.017705,          0.00036727,            0.009734,            0.009734,            0.009734
                  13,            0.044331,              0.0285,          0.00037486,              0.6234,             0.53769,             0.58996,             0.25916,            0.046294,            0.018005,          0.00034764,            0.009684,            0.009684,            0.009684
                  14,            0.043826,            0.030662,          0.00032469,             0.59091,             0.57976,             0.57871,             0.24245,            0.045802,            0.018107,          0.00027952,           0.0096299,           0.0096299,           0.0096299
                  15,            0.042738,            0.027924,          0.00030032,             0.60872,             0.55725,             0.57553,              0.2477,             0.04514,            0.018298,          0.00031997,           0.0095717,           0.0095717,           0.0095717
                  16,            0.043129,            0.029609,          0.00031619,             0.61408,             0.58587,             0.58751,             0.24709,            0.046246,            0.017834,          0.00030221,           0.0095095,           0.0095095,           0.0095095
                  17,            0.042354,            0.029042,          0.00032155,             0.57736,             0.61727,             0.60404,             0.26755,            0.044862,            0.017886,          0.00028855,           0.0094434,           0.0094434,           0.0094434
                  18,            0.042143,            0.028498,          0.00031348,             0.65941,             0.54563,             0.59116,             0.26918,            0.044532,            0.018639,          0.00030426,           0.0093733,           0.0093733,           0.0093733
                  19,            0.041053,            0.029051,           0.0002972,             0.67567,             0.58587,             0.61526,             0.28013,            0.044615,            0.018342,          0.00029051,           0.0092995,           0.0092995,           0.0092995
                  20,            0.041074,            0.026575,          0.00031283,             0.60271,             0.61335,             0.60107,             0.27172,            0.044685,            0.018039,          0.00033629,           0.0092219,           0.0092219,           0.0092219
                  21,            0.040042,            0.029412,          0.00029437,             0.67559,             0.58489,             0.62677,             0.29171,            0.043369,            0.018288,          0.00026904,           0.0091406,           0.0091406,           0.0091406
                  22,            0.039244,             0.02663,          0.00024908,             0.62566,              0.5947,             0.60918,             0.27064,            0.043891,            0.018456,          0.00022714,           0.0090557,           0.0090557,           0.0090557
                  23,            0.038588,            0.026876,          0.00025604,             0.58975,             0.62214,             0.60207,             0.26858,            0.043304,            0.018218,          0.00021341,           0.0089673,           0.0089673,           0.0089673
                  24,            0.039701,            0.026551,          0.00024389,             0.65716,             0.60059,             0.61807,               0.288,            0.043695,             0.01825,          0.00025649,           0.0088755,           0.0088755,           0.0088755
                  25,            0.038317,            0.026209,          0.00024158,             0.61341,             0.62807,             0.61486,             0.26952,            0.043785,            0.018338,          0.00022757,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038665,            0.026111,          0.00024272,             0.64244,             0.58717,             0.59648,             0.26833,            0.043293,            0.018677,          0.00024723,            0.008682,            0.008682,            0.008682
                  27,            0.037644,            0.026009,          0.00020643,             0.62644,             0.56775,              0.5848,             0.26755,            0.044276,            0.018539,          0.00021253,           0.0085805,           0.0085805,           0.0085805
                  28,            0.037399,             0.02473,          0.00025025,             0.67117,             0.57802,             0.61539,             0.28374,            0.043347,            0.018285,          0.00020736,           0.0084759,           0.0084759,           0.0084759
