               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091417,            0.041302,            0.013697,             0.28717,             0.32735,             0.22014,            0.056501,            0.067197,            0.022045,           0.0025736,           0.0033241,           0.0033241,            0.070083
                   1,            0.068768,            0.033592,           0.0017816,             0.42671,             0.33562,             0.31908,             0.10437,            0.066614,            0.018597,           0.0014874,            0.006656,            0.006656,            0.040082
                   2,            0.066123,            0.031309,           0.0017558,             0.30926,             0.36212,             0.25959,            0.073157,            0.063459,            0.018731,           0.0014782,           0.0099819,           0.0099819,            0.010074
                   3,            0.061011,            0.032024,           0.0013679,              0.4579,             0.46516,             0.42995,             0.14528,            0.055507,            0.018798,          0.00094706,             0.00998,             0.00998,             0.00998
                   4,            0.056046,             0.03527,          0.00088703,             0.40313,              0.4789,             0.39825,             0.13624,            0.053122,            0.020788,          0.00056306,             0.00998,             0.00998,             0.00998
                   5,            0.054842,             0.03303,          0.00069487,             0.46226,             0.43081,             0.39098,             0.14369,            0.053152,            0.019304,          0.00061019,           0.0099645,           0.0099645,           0.0099645
                   6,            0.052631,            0.032732,          0.00057289,             0.49683,             0.50194,             0.47665,             0.18297,            0.049939,             0.01847,          0.00045385,           0.0099446,           0.0099446,           0.0099446
                   7,            0.051259,             0.03101,          0.00050396,             0.55869,             0.50813,             0.51347,             0.19777,            0.049109,            0.018584,           0.0004203,           0.0099203,           0.0099203,           0.0099203
                   8,            0.050695,            0.031437,          0.00043466,             0.49196,             0.52797,             0.48358,             0.18342,            0.049154,            0.019006,          0.00035666,           0.0098916,           0.0098916,           0.0098916
                   9,            0.049621,            0.032575,          0.00041992,             0.56382,              0.5103,             0.51339,             0.20739,            0.048831,            0.019059,          0.00034182,           0.0098586,           0.0098586,           0.0098586
                  10,            0.048884,            0.030653,          0.00036294,             0.57097,             0.57115,              0.5395,             0.22877,            0.047199,            0.018421,          0.00039396,           0.0098213,           0.0098213,           0.0098213
                  11,            0.047821,            0.032857,          0.00038166,             0.62768,             0.56428,             0.57646,             0.22545,            0.047452,             0.01816,           0.0003133,           0.0097798,           0.0097798,           0.0097798
                  12,            0.048233,            0.031695,          0.00035019,             0.60389,             0.56232,             0.57392,             0.24171,            0.046086,            0.018136,          0.00030916,            0.009734,            0.009734,            0.009734
                  13,            0.047568,            0.030336,          0.00037639,             0.53593,             0.51914,              0.5153,                0.22,            0.046998,            0.018692,          0.00030282,            0.009684,            0.009684,            0.009684
                  14,            0.046951,            0.032778,          0.00031131,             0.58156,             0.55921,             0.55445,             0.23236,            0.046731,            0.018197,          0.00027452,           0.0096299,           0.0096299,           0.0096299
                  15,             0.04561,            0.030396,          0.00029541,             0.57184,             0.58062,             0.56103,             0.23339,            0.046406,            0.018196,          0.00026344,           0.0095717,           0.0095717,           0.0095717
                  16,            0.046035,            0.031034,           0.0002997,             0.59803,             0.50834,             0.53369,             0.21882,            0.046375,            0.018377,          0.00025237,           0.0095095,           0.0095095,           0.0095095
                  17,            0.045328,             0.03074,          0.00025374,             0.64285,             0.54858,             0.57756,             0.23974,            0.047437,            0.017945,          0.00024111,           0.0094434,           0.0094434,           0.0094434
                  18,            0.045456,            0.030001,          0.00026497,             0.57975,             0.57704,             0.55211,             0.22982,            0.045402,            0.018472,          0.00024731,           0.0093733,           0.0093733,           0.0093733
                  19,            0.044468,            0.030755,           0.0002525,             0.59333,             0.54266,             0.55446,             0.23417,            0.046485,            0.018409,          0.00022937,           0.0092995,           0.0092995,           0.0092995
                  20,            0.043676,            0.028108,          0.00025996,             0.56866,             0.61138,             0.57719,             0.24142,            0.044513,            0.018172,          0.00025898,           0.0092219,           0.0092219,           0.0092219
                  21,            0.044182,            0.031146,          0.00025561,             0.64708,             0.56526,             0.58936,              0.2573,            0.045777,            0.018306,          0.00021286,           0.0091406,           0.0091406,           0.0091406
                  22,             0.04296,            0.028605,          0.00024341,             0.56285,              0.5682,             0.56023,             0.24196,            0.045026,            0.018532,          0.00024527,           0.0090557,           0.0090557,           0.0090557
                  23,            0.042972,            0.029176,           0.0002488,             0.51366,             0.62293,             0.55343,             0.23463,            0.045388,            0.018023,          0.00022812,           0.0089673,           0.0089673,           0.0089673
                  24,            0.043569,            0.028867,          0.00024802,             0.61223,             0.57311,             0.58032,             0.25632,            0.044477,            0.017911,          0.00024014,           0.0088755,           0.0088755,           0.0088755
                  25,            0.042683,            0.028224,          0.00024108,             0.63786,             0.57605,             0.60835,             0.27215,            0.043406,              0.0179,          0.00021678,           0.0087804,           0.0087804,           0.0087804
                  26,            0.041874,            0.028444,          0.00020792,             0.58037,             0.61531,             0.57856,             0.24911,            0.044755,            0.018442,          0.00019272,            0.008682,            0.008682,            0.008682
                  27,            0.041794,            0.028202,          0.00018957,             0.57849,              0.6212,             0.58305,             0.26017,            0.044333,            0.018331,          0.00018966,           0.0085805,           0.0085805,           0.0085805
                  28,            0.040952,            0.027625,          0.00020867,             0.61075,             0.55125,             0.57534,             0.25777,            0.044749,            0.018595,          0.00021624,           0.0084759,           0.0084759,           0.0084759
                  29,            0.040531,             0.02722,          0.00019287,             0.60961,             0.59863,             0.59757,             0.26621,            0.044735,            0.018087,          0.00017397,           0.0083684,           0.0083684,           0.0083684
